return_id,order_id,return_date,return_reason,refund_amount
R0000001,O00253248,2025-12-31,Damaged Product,284.63
R0000002,O00239970,2025-12-19,Late Delivery,108.22
R0000003,O00205036,2026-06-10,Wrong Item,247.77
R0000004,O00323510,2025-12-09,Damaged Product,74.62
R0000005,O00295131,2025-10-07,Damaged Product,329.82
R0000006,O00477910,2026-07-16,Late Delivery,311.58
R0000007,O00304618,2026-04-17,Late Delivery,37.58
R0000008,O00038111,2026-04-20,Wrong Item,276.44
R0000009,O00051271,2026-04-14,Customer Changed Mind,489.01
R0000010,O00076213,2026-02-25,Late Delivery,490.6
R0000011,O00339404,2026-06-14,Wrong Item,66.95
R0000012,O00184634,2026-01-29,Customer Changed Mind,50.98
R0000013,O00406629,2026-05-19,Damaged Product,497.65
R0000014,O00174163,2026-08-18,Late Delivery,49.12
R0000015,O00072300,2025-10-13,Customer Changed Mind,214.09
R0000016,O00083856,2026-08-06,Wrong Item,355.36
R0000017,O00050569,2026-02-15,Customer Changed Mind,201.13
R0000018,O00084218,2026-04-07,Damaged Product,207.85
R0000019,O00385852,2025-11-18,Damaged Product,349.93
R0000020,O00073360,2026-01-22,Late Delivery,314.66
R0000021,O00148125,2025-10-27,Damaged Product,293.0
R0000022,O00373949,2026-04-04,Customer Changed Mind,308.85
R0000023,O00323102,2026-07-28,Late Delivery,476.97
R0000024,O00208564,2026-01-27,Customer Changed Mind,283.08
R0000025,O00254199,2026-02-27,Damaged Product,29.76
R0000026,O00250742,2026-08-03,Customer Changed Mind,65.12
R0000027,O00012895,2025-11-11,Late Delivery,190.85
R0000028,O00379809,2026-06-17,Customer Changed Mind,101.13
R0000029,O00380787,2026-07-28,Customer Changed Mind,144.29
R0000030,O00312493,2026-07-09,Wrong Item,50.29
R0000031,O00201285,2025-12-18,Customer Changed Mind,253.83
R0000032,O00242410,2026-06-21,Damaged Product,185.49
R0000033,O00388590,2026-06-02,Customer Changed Mind,367.53
R0000034,O00060780,2026-07-26,Damaged Product,230.44
R0000035,O00310429,2025-10-29,Customer Changed Mind,20.12
R0000036,O00398126,2026-05-05,Late Delivery,52.75
R0000037,O00457858,2026-08-18,Damaged Product,368.59
R0000038,O00251858,2025-09-02,Late Delivery,376.34
R0000039,O00361111,2026-06-07,Late Delivery,81.19
R0000040,O00322645,2026-06-11,Customer Changed Mind,466.88
R0000041,O00328209,2025-11-22,Customer Changed Mind,153.11
R0000042,O00238010,2025-12-29,Customer Changed Mind,347.78
R0000043,O00463897,2026-05-11,Late Delivery,37.74
R0000044,O00495929,2025-12-20,Customer Changed Mind,338.81
R0000045,O00248219,2025-10-16,Customer Changed Mind,292.88
R0000046,O00344504,2026-07-22,Damaged Product,426.48
R0000047,O00099923,2026-01-16,Customer Changed Mind,121.76
R0000048,O00439796,2026-05-20,Damaged Product,241.46
R0000049,O00376708,2025-12-31,Customer Changed Mind,430.84
R0000050,O00460655,2025-11-21,Wrong Item,136.16
R0000051,O00357271,2026-02-25,Customer Changed Mind,473.28
R0000052,O00272066,2025-10-25,Late Delivery,151.91
R0000053,O00172635,2026-02-13,Wrong Item,326.77
R0000054,O00233005,2026-03-30,Damaged Product,298.38
R0000055,O00312722,2026-04-26,Late Delivery,114.43
R0000056,O00043235,2026-06-30,Late Delivery,496.54
R0000057,O00479415,2025-10-04,Customer Changed Mind,149.8
R0000058,O00019560,2026-07-27,Customer Changed Mind,100.96
R0000059,O00466852,2026-03-29,Wrong Item,171.79
