store_id,store_name,city,country,open_date
S001,London Store 1,London,United Kingdom,2021-11-18
S002,Manchester Store 2,Manchester,United Kingdom,2019-10-15
S003,Leeds Store 3,Leeds,United Kingdom,2024-05-02
S004,Glasgow Store 4,Glasgow,United Kingdom,2024-07-02
S005,Birmingham Store 5,Birmingham,United Kingdom,2018-04-19
S006,Glasgow Store 6,Glasgow,United Kingdom,2024-03-17
S007,London Store 7,London,United Kingdom,2021-01-04
S008,Liverpool Store 8,Liverpool,United Kingdom,2020-10-02
S009,Glasgow Store 9,Glasgow,United Kingdom,2017-10-28
S010,Leeds Store 10,Leeds,United Kingdom,2018-05-01
S011,Cardiff Store 11,Cardiff,United Kingdom,2019-03-01
S012,Bristol Store 12,Bristol,United Kingdom,2025-06-18
S013,Glasgow Store 13,Glasgow,United Kingdom,2021-05-25
S014,Manchester Store 14,Manchester,United Kingdom,2024-10-23
S015,Bristol Store 15,Bristol,United Kingdom,2023-02-03
S016,Liverpool Store 16,Liverpool,United Kingdom,2020-12-17
S017,Cardiff Store 17,Cardiff,United Kingdom,2017-05-08
S018,London Store 18,London,United Kingdom,2020-11-28
S019,Bristol Store 19,Bristol,United Kingdom,2018-12-11
S020,Bristol Store 20,Bristol,United Kingdom,2017-01-02
S021,Liverpool Store 21,Liverpool,United Kingdom,2020-06-15
S022,Manchester Store 22,Manchester,United Kingdom,2024-11-13
S023,Birmingham Store 23,Birmingham,United Kingdom,2020-09-25
S024,Manchester Store 24,Manchester,United Kingdom,2021-06-25
S025,Bristol Store 25,Bristol,United Kingdom,2018-09-13
S026,Manchester Store 26,Manchester,United Kingdom,2021-06-07
S027,Glasgow Store 27,Glasgow,United Kingdom,2019-06-11
S028,Liverpool Store 28,Liverpool,United Kingdom,2018-03-27
S029,Manchester Store 29,Manchester,United Kingdom,2019-05-07
S030,Manchester Store 30,Manchester,United Kingdom,2018-07-09
S031,Bristol Store 31,Bristol,United Kingdom,2019-03-02
S032,Bristol Store 32,Bristol,United Kingdom,2022-04-13
S033,Glasgow Store 33,Glasgow,United Kingdom,2023-06-28
S034,Liverpool Store 34,Liverpool,United Kingdom,2025-05-18
S035,London Store 35,London,United Kingdom,2024-08-25
S036,Manchester Store 36,Manchester,United Kingdom,2017-01-16
S037,Glasgow Store 37,Glasgow,United Kingdom,2023-03-12
S038,Leeds Store 38,Leeds,United Kingdom,2021-04-03
S039,Bristol Store 39,Bristol,United Kingdom,2021-01-07
S040,Cardiff Store 40,Cardiff,United Kingdom,2019-03-12
S041,Cardiff Store 41,Cardiff,United Kingdom,2021-04-09
S042,Bristol Store 42,Bristol,United Kingdom,2018-09-25
S043,Birmingham Store 43,Birmingham,United Kingdom,2018-03-30
S044,London Store 44,London,United Kingdom,2018-04-30
S045,Cardiff Store 45,Cardiff,United Kingdom,2025-07-30
S046,London Store 46,London,United Kingdom,2017-12-10
S047,Birmingham Store 47,Birmingham,United Kingdom,2019-02-05
S048,London Store 48,London,United Kingdom,2021-07-13
S049,Liverpool Store 49,Liverpool,United Kingdom,2018-12-04
S050,Birmingham Store 50,Birmingham,United Kingdom,2019-12-09
S051,Glasgow Store 51,Glasgow,United Kingdom,2023-07-20
S052,Birmingham Store 52,Birmingham,United Kingdom,2020-02-14
S053,London Store 53,London,United Kingdom,2021-04-26
S054,Manchester Store 54,Manchester,United Kingdom,2018-12-20
S055,Cardiff Store 55,Cardiff,United Kingdom,2025-01-07
S056,Manchester Store 56,Manchester,United Kingdom,2023-08-13
S057,Birmingham Store 57,Birmingham,United Kingdom,2019-08-25
S058,Manchester Store 58,Manchester,United Kingdom,2023-11-13
S059,Birmingham Store 59,Birmingham,United Kingdom,2021-09-25
S060,Liverpool Store 60,Liverpool,United Kingdom,2022-07-19
S061,Manchester Store 61,Manchester,United Kingdom,2024-08-01
S062,Leeds Store 62,Leeds,United Kingdom,2022-11-10
S063,Leeds Store 63,Leeds,United Kingdom,2022-11-11
S064,Glasgow Store 64,Glasgow,United Kingdom,2020-03-08
S065,Glasgow Store 65,Glasgow,United Kingdom,2022-11-20
S066,Cardiff Store 66,Cardiff,United Kingdom,2022-05-21
S067,Cardiff Store 67,Cardiff,United Kingdom,2018-12-20
S068,Glasgow Store 68,Glasgow,United Kingdom,2020-04-10
S069,London Store 69,London,United Kingdom,2025-02-06
S070,Cardiff Store 70,Cardiff,United Kingdom,2025-08-24
S071,Leeds Store 71,Leeds,United Kingdom,2020-07-26
S072,Manchester Store 72,Manchester,United Kingdom,2024-02-18
S073,Birmingham Store 73,Birmingham,United Kingdom,2017-07-03
S074,Glasgow Store 74,Glasgow,United Kingdom,2025-01-17
S075,Cardiff Store 75,Cardiff,United Kingdom,2023-06-14
S076,Cardiff Store 76,Cardiff,United Kingdom,2019-10-12
S077,Leeds Store 77,Leeds,United Kingdom,2021-06-01
S078,Manchester Store 78,Manchester,United Kingdom,2017-04-10
S079,Birmingham Store 79,Birmingham,United Kingdom,2018-12-27
S080,Birmingham Store 80,Birmingham,United Kingdom,2021-11-24
S081,Cardiff Store 81,Cardiff,United Kingdom,2020-12-13
S082,Glasgow Store 82,Glasgow,United Kingdom,2017-05-02
S083,London Store 83,London,United Kingdom,2017-06-25
S084,Cardiff Store 84,Cardiff,United Kingdom,2022-12-26
S085,Bristol Store 85,Bristol,United Kingdom,2018-12-19
S086,Cardiff Store 86,Cardiff,United Kingdom,2024-06-11
S087,Glasgow Store 87,Glasgow,United Kingdom,2017-11-25
S088,Bristol Store 88,Bristol,United Kingdom,2022-07-17
S089,Leeds Store 89,Leeds,United Kingdom,2023-05-17
S090,Leeds Store 90,Leeds,United Kingdom,2024-01-26
S091,Liverpool Store 91,Liverpool,United Kingdom,2018-09-22
S092,Leeds Store 92,Leeds,United Kingdom,2023-01-22
S093,Manchester Store 93,Manchester,United Kingdom,2024-07-25
S094,Manchester Store 94,Manchester,United Kingdom,2023-05-14
S095,Glasgow Store 95,Glasgow,United Kingdom,2023-10-14
S096,Bristol Store 96,Bristol,United Kingdom,2020-05-22
S097,Liverpool Store 97,Liverpool,United Kingdom,2024-02-09
S098,Leeds Store 98,Leeds,United Kingdom,2024-08-10
S099,London Store 99,London,United Kingdom,2022-11-02
S100,Bristol Store 100,Bristol,United Kingdom,2023-12-06
